Gene	GeneName	Chromosome	TSS	Strand	DistanceTSStoORF
LCB3	YJL134W	chr10	146906	+	31
DPI8	YJL133C-A	chr10	148627	-	29
MRS3	YJL133W	chr10	149285	+	85
YJL132W	YJL132W	chr10	150648	+	18
AIM23	YJL131C	chr10	154132	-	31
URA2	YJL130C	chr10	161699	-	580
TRK1	YJL129C	chr10	166350	-	291
PBS2	YJL128C	chr10	169077	-	226
MCO6	YJL127C-B	chr10	170545	-	86
SPT10	YJL127C	chr10	173039	-	69
GCD14	YJL125C	chr10	175472	-	42
LSM1	YJL124C	chr10	176561	-	166
MTC1	YJL123C	chr10	178199	-	8
ALB1	YJL122W	chr10	178450	+	17
RPE1	YJL121C	chr10	179853	-	12
YJL118W	YJL118W	chr10	180427	+	-38
PHO86	YJL117W	chr10	181231	+	50
NCA3	YJL116C	chr10	183828	-	205
ASF1	YJL115W	chr10	184959	+	76
MDV1	YJL112W	chr10	188560	+	25
CCT7	YJL111W	chr10	191097	+	51
GZF3	YJL110C	chr10	194931	-	84
UTP10	YJL109C	chr10	200606	-	28
YJL107C	YJL107C	chr10	203357	-	74
SET4	YJL105W	chr10	208139	+	192
PAM16	YJL104W	chr10	210557	+	44
GSM1	YJL103C	chr10	214351	-	196
MEF2	YJL102W	chr10	214534	+	42
GSH1	YJL101C	chr10	219783	-	151
LSB6	YJL100W	chr10	220474	+	65
CHS6	YJL099W	chr10	222602	+	88
SAP185	YJL098W	chr10	225168	+	190
PHS1	YJL097W	chr10	228823	+	44
MRPL49	YJL096W	chr10	229729	+	37
KHA1	YJL094C	chr10	237763	-	45
TOK1	YJL093C	chr10	240074	-	-14
SRS2	YJL092W	chr10	240485	+	214
GWT1	YJL091C	chr10	245836	-	8
SIP4	YJL089W	chr10	249078	+	116
ARG3	YJL088W	chr10	252041	+	26
TRL1	YJL087C	chr10	255856	-	103
EXO70	YJL085W	chr10	256037	+	58
ALY2	YJL084C	chr10	261411	-	141
TAX4	YJL083W	chr10	262042	+	67
IML2	YJL082W	chr10	264339	+	114
ARP4	YJL081C	chr10	268552	-	13
SCP160	YJL080C	chr10	272676	-	182
PRY1	YJL079C	chr10	274206	-	164
PRY3	YJL078C	chr10	277322	-	73
NET1	YJL076W	chr10	278448	+	65
SMC3	YJL074C	chr10	286140	-	23
JEM1	YJL073W	chr10	286365	+	84
PSF2	YJL072C	chr10	289167	-	37
ARG2	YJL071W	chr10	289355	+	45
YJL070C	YJL070C	chr10	293912	-	7
UTP18	YJL069C	chr10	295980	-	6
YJL068C	YJL068C	chr10	297204	-	21
MPM1	YJL066C	chr10	298178	-	38
DLS1	YJL065C	chr10	298859	-	34
MRPL8	YJL063C	chr10	299782	-	39
COA3	YJL062W-A	chr10	299962	+	29
LAS21	YJL062W	chr10	300541	+	11
NUP82	YJL061W	chr10	303244	+	40
BNA3	YJL060W	chr10	306661	+	-7
BIT61	YJL058C	chr10	311186	-	45
IKS1	YJL057C	chr10	313458	-	69
ZAP1	YJL056C	chr10	316349	-	8
LOG1	YJL055W	chr10	316597	+	28
TIM54	YJL054W	chr10	317528	+	5
PEP8	YJL053W	chr10	319123	+	43
TDH1	YJL052W	chr10	321465	+	74
IRC8	YJL051W	chr10	322980	+	75
MTR4	YJL050W	chr10	325716	+	61
CHM7	YJL049W	chr10	329201	+	27
UBX6	YJL048C	chr10	331917	-	25
YJL047C-A	YJL047C-A	chr10	332648	-	215
RTT101	YJL047C	chr10	335437	-	74
AIM22	YJL046W	chr10	335617	+	24
YJL045W	YJL045W	chr10	339250	+	29
GYP6	YJL044C	chr10	342959	-	37
MHP1	YJL042W	chr10	344430	+	65
NSP1	YJL041W	chr10	348972	+	58
SNX4	YJL036W	chr10	361952	+	119
TAD2	YJL035C	chr10	364295	-	48
KAR2	YJL034W	chr10	364535	+	38
HCA4	YJL033W	chr10	367057	+	26
BET4	YJL031C	chr10	370745	-	61
MAD2	YJL030W	chr10	370859	+	44
VPS53	YJL029C	chr10	374160	-	61
RNR2	YJL026W	chr10	375600	+	50
RRN7	YJL025W	chr10	377166	+	38
APS3	YJL024C	chr10	379860	-	31
PET130	YJL023C	chr10	381620	-	-15
BBC1	YJL020C	chr10	385739	-	92
MPS3	YJL019W	chr10	386034	+	100
CCT3	YJL014W	chr10	390770	+	25
MAD3	YJL013C	chr10	394269	-	-8
VTC4	YJL012C	chr10	396683	-	47
RPC17	YJL011C	chr10	398047	-	40
NOP9	YJL010C	chr10	402824	-	25
CCT8	YJL008C	chr10	404946	-	46
CTK2	YJL006C	chr10	407405	-	59
CYR1	YJL005W	chr10	415041	+	144
SYS1	YJL004C	chr10	422241	-	13
COX16	YJL003W	chr10	422606	+	66
OST1	YJL002C	chr10	424735	-	56
PRE3	YJL001W	chr10	425154	+	37
AVT1	YJR001W	chr10	426774	+	56
MPP10	YJR002W	chr10	428863	+	30
MRX12	YJR003C	chr10	432592	-	11
SAG1	YJR004C	chr10	435696	-	807
APL1	YJR005W	chr10	435894	+	57
POL31	YJR006W	chr10	439222	+	8
SUI2	YJR007W	chr10	440952	+	96
MHO1	YJR008W	chr10	442454	+	4
TDH2	YJR009C	chr10	444757	-	48
MET3	YJR010W	chr10	446224	+	39
SPC1	YJR010C-A	chr10	448404	-	30
YJR011C	YJR011C	chr10	449484	-	45
YJR012C	YJR012C	chr10	450226	-	-205
GPI14	YJR013W	chr10	450355	+	40
TMA22	YJR014W	chr10	451795	+	47
YJR015W	YJR015W	chr10	452763	+	-29
ILV3	YJR016C	chr10	456236	-	15
ESS1	YJR017C	chr10	457068	-	22
TES1	YJR019C	chr10	458308	-	14
REC107	YJR021C	chr10	459618	-	26
LSM8	YJR022W	chr10	459769	+	28
MDE1	YJR024C	chr10	460979	-	11
BNA1	YJR025C	chr10	461705	-	30
RBH2	YJR030C	chr10	476252	-	59
GEA1	YJR031C	chr10	480885	-	76
CPR7	YJR032W	chr10	481055	+	23
RAV1	YJR033C	chr10	486497	-	49
PET191	YJR034W	chr10	486639	+	41
RAD26	YJR035W	chr10	487341	+	11
MLO127	YJR039W	chr10	493941	+	-8
GEF1	YJR040W	chr10	497701	+	42
URB2	YJR041C	chr10	503827	-	67
NUP85	YJR042W	chr10	504029	+	23
POL32	YJR043C	chr10	507459	-	34
VPS55	YJR044C	chr10	509156	-	57
SSC1	YJR045C	chr10	511644	-	139
TAH11	YJR046W	chr10	511922	+	27
ANB1	YJR047C	chr10	515308	-	29
CYC1	YJR048W	chr10	516155	+	61
UTR1	YJR049C	chr10	518373	-	18
ISY1	YJR050W	chr10	518550	+	26
OSM1	YJR051W	chr10	519728	+	13
RAD7	YJR052W	chr10	521882	+	60
BFA1	YJR053W	chr10	523843	+	63
KCH1	YJR054W	chr10	525810	+	125
HIT1	YJR055W	chr10	528305	+	10
YJR056C	YJR056C	chr10	537785	-	174
CDC8	YJR057W	chr10	539045	+	23
APS2	YJR058C	chr10	540219	-	38
PTK2	YJR059W	chr10	540721	+	72
NTA1	YJR062C	chr10	549856	-	2
RPA12	YJR063W	chr10	550153	+	47
CCT5	YJR064W	chr10	550883	+	36
ARP3	YJR065C	chr10	554189	-	26
TOR1	YJR066W	chr10	554389	+	32
YAE1	YJR067C	chr10	562474	-	22
RFC2	YJR068W	chr10	562611	+	40
HAM1	YJR069C	chr10	564443	-	37
LIA1	YJR070C	chr10	565649	-	44
NPA3	YJR072C	chr10	567172	-	41
OPI3	YJR073C	chr10	567972	-	30
MOG1	YJR074W	chr10	568184	+	-82
HOC1	YJR075W	chr10	568928	+	60
CDC11	YJR076C	chr10	571664	-	54
MIR1	YJR077C	chr10	573261	-	47
BNA2	YJR078W	chr10	573910	+	-26
AIM24	YJR080C	chr10	576668	-	29
EAF6	YJR082C	chr10	577418	-	140
ACF4	YJR083C	chr10	578581	-	23
YJR084W	YJR084W	chr10	578731	+	23
TMH11	YJR085C	chr10	580498	-	39
STE18	YJR086W	chr10	581058	+	32
EMC2	YJR088C	chr10	582426	-	32
BIR1	YJR089W	chr10	582649	+	90
GRR1	YJR090C	chr10	589628	-	292
JSN1	YJR091C	chr10	593372	-	27
BUD4	YJR092W	chr10	593693	+	51
FIP1	YJR093C	chr10	599297	-	85
RPL43B	YJR094W-A	chr10	603274	+	20
SFC1	YJR095W	chr10	604614	+	148
YJR096W	YJR096W	chr10	606154	+	30
JJJ3	YJR097W	chr10	607293	+	105
YJR098C	YJR098C	chr10	610213	-	74
YUH1	YJR099W	chr10	610476	+	82
AIM25	YJR100C	chr10	612322	-	6
RSM26	YJR101W	chr10	613189	+	30
VPS25	YJR102C	chr10	614860	-	110
URA8	YJR103W	chr10	615676	+	63
SOD1	YJR104C	chr10	618042	-	43
ADO1	YJR105W	chr10	618534	+	32
ECM27	YJR106W	chr10	619796	+	27
ABM1	YJR108W	chr10	623889	+	-192
CPA2	YJR109C	chr10	627989	-	63
YMR1	YJR110W	chr10	628459	+	141
PXP2	YJR111C	chr10	631815	-	124
NNF1	YJR112W	chr10	631996	+	19
YJR112W-A	YJR112W-A	chr10	632742	+	33
RSM7	YJR113C	chr10	634012	-	52
YJR115W	YJR115W	chr10	635095	+	-188
TDA4	YJR116W	chr10	635682	+	109
STE24	YJR117W	chr10	636943	+	30
ILM1	YJR118C	chr10	639110	-	43
ATP2	YJR121W	chr10	642380	+	193
IBA57	YJR122W	chr10	644675	+	67
RPS5	YJR123W	chr10	646831	+	36
YJR124C	YJR124C	chr10	649243	-	39
ENT3	YJR125C	chr10	650989	-	60
VPS70	YJR126C	chr10	653644	-	-11
RSF2	YJR127C	chr10	657779	-	-246
EFM3	YJR129C	chr10	660031	-	46
STR2	YJR130C	chr10	662131	-	28
MNS1	YJR131W	chr10	662561	+	49
NMD5	YJR132W	chr10	664427	+	61
XPT1	YJR133W	chr10	667867	+	90
SGM1	YJR134C	chr10	670872	-	54
MCM22	YJR135C	chr10	671778	-	34
TIM8	YJR135W-A	chr10	671917	+	20
TTI2	YJR136C	chr10	673679	-	7
MET5	YJR137C	chr10	678318	-	67
IML1	YJR138W	chr10	679506	+	27
HOM6	YJR139C	chr10	685554	-	64
HIR3	YJR140C	chr10	690723	-	61
IPA1	YJR141W	chr10	690839	+	33
YJR142W	YJR142W	chr10	692086	+	21
PMT4	YJR143C	chr10	695630	-	50
MGM101	YJR144W	chr10	695801	+	47
RPS4A	YJR145C	chr10	698067	-	33
HMS2	YJR147W	chr10	699126	+	36
BAT2	YJR148W	chr10	700653	+	57
YJR149W	YJR149W	chr10	702176	+	-50
DAN1	YJR150C	chr10	704714	-	41
DAN4	YJR151C	chr10	710790	-	24
DAL5	YJR152W	chr10	714633	+	59
YJR154W	YJR154W	chr10	720570	+	239
AAD10	YJR155W	chr10	722124	+	306
YKL222C	YKL222C	chr11	12283	-	122
COS9	YKL219W	chr11	21079	+	-53
SRY1	YKL218C	chr11	24952	-	72
JEN1	YKL217W	chr11	28703	+	51
URA1	YKL216W	chr11	31680	+	55
OXP1	YKL215C	chr11	37254	-	49
YRA2	YKL214C	chr11	38267	-	56
DOA1	YKL213C	chr11	40646	-	21
SAC1	YKL212W	chr11	40850	+	211
TRP3	YKL211C	chr11	44715	-	45
UBA1	YKL210W	chr11	45631	+	49
STE6	YKL209C	chr11	52839	-	27
CBT1	YKL208W	chr11	53665	+	9
EMC3	YKL207W	chr11	54677	+	34
ADD66	YKL206C	chr11	56361	-	35
LOS1	YKL205W	chr11	56528	+	40
EAP1	YKL204W	chr11	60187	+	34
TOR2	YKL203C	chr11	70066	-	190
MNN4	YKL201C	chr11	74030	-	45
PTK1	YKL198C	chr11	76905	-	174
PEX1	YKL197C	chr11	80408	-	32
YKT6	YKL196C	chr11	82095	-	47
MIA40	YKL195W	chr11	82301	+	34
MST1	YKL194C	chr11	85178	-	18
SDS22	YKL193C	chr11	86448	-	42
ACP1	YKL192C	chr11	87104	-	43
DPH2	YKL191W	chr11	87529	+	30
HYM1	YKL189W	chr11	91057	+	99
PXA2	YKL188C	chr11	95298	-	60
FAT3	YKL187C	chr11	98026	-	38
MTR2	YKL186C	chr11	99795	-	45
ASH1	YKL185W	chr11	101077	+	-126
SPE1	YKL184W	chr11	102989	+	220
LOT5	YKL183W	chr11	105030	+	143
FAS1	YKL182W	chr11	106799	+	324
PRS1	YKL181W	chr11	113592	+	176
RPL17A	YKL180W	chr11	115700	+	21
COY1	YKL179C	chr11	118970	-	15
STE3	YKL178C	chr11	120468	-	-611
LST4	YKL176C	chr11	124780	-	342
ZRT3	YKL175W	chr11	125199	+	46
TPO5	YKL174C	chr11	128751	-	63
SNU114	YKL173W	chr11	128941	+	28
EBP2	YKL172W	chr11	132192	+	19
NNK1	YKL171W	chr11	133838	+	89
MRPL38	YKL170W	chr11	137034	+	52
KKQ8	YKL168C	chr11	139915	-	1
MRP49	YKL167C	chr11	140606	-	20
TPK3	YKL166C	chr11	142311	-	154
MCD4	YKL165C	chr11	147166	-	39
PIR1	YKL164C	chr11	149330	-	75
PIR3	YKL163W	chr11	150758	+	79
KDX1	YKL161C	chr11	157401	-	278
ELF1	YKL160W	chr11	159687	+	18
RCN1	YKL159C	chr11	160889	-	2
APE2	YKL157W	chr11	162006	+	-579
RPS27A	YKL156W	chr11	164995	+	54
RSM22	YKL155C	chr11	167799	-	21
SRP102	YKL154W	chr11	167957	+	80
GPM1	YKL152C	chr11	170844	-	23
NNR2	YKL151C	chr11	172394	-	32
MCR1	YKL150W	chr11	172908	+	68
DBR1	YKL149C	chr11	175285	-	24
SDH1	YKL148C	chr11	177667	-	152
AVT3	YKL146W	chr11	178150	+	19
RPT1	YKL145W	chr11	180545	+	54
RPC25	YKL144C	chr11	182931	-	64
LTV1	YKL143W	chr11	183113	+	54
MRP8	YKL142W	chr11	184843	+	58
SDH3	YKL141W	chr11	186012	+	41
TGL1	YKL140W	chr11	186938	+	227
CTK1	YKL139W	chr11	189161	+	183
HSK3	YKL138C-A	chr11	191420	-	22
MRPL31	YKL138C	chr11	192177	-	110
CMC1	YKL137W	chr11	192283	+	60
APL2	YKL135C	chr11	195149	-	123
OCT1	YKL134C	chr11	197880	-	52
SHE2	YKL130C	chr11	202409	-	50
MYO3	YKL129C	chr11	206561	-	70
PMU1	YKL128C	chr11	208126	-	31
PGM1	YKL127W	chr11	209840	+	25
YPK1	YKL126W	chr11	211823	+	208
RRN3	YKL125W	chr11	214441	+	130
SSH4	YKL124W	chr11	216809	+	108
SRP21	YKL122C	chr11	219370	-	48
DGR2	YKL121W	chr11	220251	+	215
OAC1	YKL120W	chr11	223591	+	77
VPH2	YKL119C	chr11	225584	-	43
SBA1	YKL117W	chr11	226595	+	53
PRR1	YKL116C	chr11	229406	-	182
APN1	YKL114C	chr11	230785	-	6
RAD27	YKL113C	chr11	232225	-	26
ABF1	YKL112W	chr11	232808	+	86
KTI12	YKL110C	chr11	236263	-	59
HAP4	YKL109W	chr11	238280	+	271
SLD2	YKL108W	chr11	240730	+	20
YKL107W	YKL107W	chr11	242418	+	47
AAT1	YKL106W	chr11	243760	+	100
SEG2	YKL105C	chr11	249106	-	199
GFA1	YKL104C	chr11	251899	-	202
APE1	YKL103C	chr11	254060	-	54
HSL1	YKL101W	chr11	254975	+	269
YPF1	YKL100C	chr11	261807	-	23
UTP11	YKL099C	chr11	262865	-	69
MTC2	YKL098W	chr11	263068	+	26
CWP2	YKL096W-A	chr11	265529	+	48
CWP1	YKL096W	chr11	267409	+	47
YJU2	YKL095W	chr11	268435	+	166
YJU3	YKL094W	chr11	269655	+	18
MBR1	YKL093W	chr11	271052	+	61
BUD2	YKL092C	chr11	275859	-	76
YKL091C	YKL091C	chr11	277017	-	43
CUE2	YKL090W	chr11	278197	+	5
CAB3	YKL088W	chr11	281586	+	21
SRX1	YKL086W	chr11	284217	+	80
MDH1	YKL085W	chr11	285048	+	91
HOT13	YKL084W	chr11	286499	+	26
RRP14	YKL082C	chr11	288410	-	65
TEF4	YKL081W	chr11	288882	+	25
VMA5	YKL080W	chr11	290941	+	105
SMY1	YKL079W	chr11	292526	+	93
DHR2	YKL078W	chr11	294828	+	33
PSG1	YKL077W	chr11	297405	+	64
YKL075C	YKL075C	chr11	300416	-	92
MUD2	YKL074C	chr11	302203	-	-6
LHS1	YKL073W	chr11	302412	+	34
STB6	YKL072W	chr11	305393	+	205
YKL069W	YKL069W	chr11	313311	+	8
YKL068W-A	YKL068W-A	chr11	315195	+	45
NUP100	YKL068W	chr11	316113	+	120
YNK1	YKL067W	chr11	320792	+	54
DPC7	YKL065W-A	chr11	321945	+	43
YET1	YKL065C	chr11	323127	-	36
MNR2	YKL064W	chr11	323601	+	197
YKL063C	YKL063C	chr11	327699	-	157
MSN4	YKL062W	chr11	329147	+	105
BLI1	YKL061W	chr11	331778	+	17
FBA1	YKL060C	chr11	333533	-	22
MPE1	YKL059C	chr11	335537	-	70
TOA2	YKL058W	chr11	336160	+	30
NUP120	YKL057C	chr11	340023	-	30
TMA19	YKL056C	chr11	340978	-	39
OAR1	YKL055C	chr11	342215	-	40
DEF1	YKL054C	chr11	344868	-	97
MDM35	YKL053C-A	chr11	345533	-	73
ASK1	YKL052C	chr11	346585	-	21
SFK1	YKL051W	chr11	347167	+	163
YKL050C	YKL050C	chr11	351712	-	74
CSE4	YKL049C	chr11	352826	-	44
ELM1	YKL048C	chr11	355239	-	85
ANR2	YKL047W	chr11	355453	+	28
DCW1	YKL046C	chr11	358875	-	233
PRI2	YKL045W	chr11	359444	+	67
MMO1	YKL044W	chr11	362495	+	-155
PHD1	YKL043W	chr11	362790	+	-24
SPC42	YKL042W	chr11	364355	+	138
VPS24	YKL041W	chr11	366043	+	118
NFU1	YKL040C	chr11	367908	-	62
PTM1	YKL039W	chr11	368481	+	159
RGT1	YKL038W	chr11	371388	+	235
UGP1	YKL035W	chr11	375836	+	73
TUL1	YKL034W	chr11	377756	+	91
YKL033W-A	YKL033W-A	chr11	380447	+	76
IXR1	YKL032C	chr11	387970	-	94
MAE1	YKL029C	chr11	390774	-	49
TFA1	YKL028W	chr11	391714	+	30
TCD2	YKL027W	chr11	393431	+	117
GPX1	YKL026C	chr11	395935	-	66
PAN3	YKL025C	chr11	398299	-	34
MIN9	YKL023C-A	chr11	399198	-	-161
URA6	YKL024C	chr11	399351	-	225
YKL023W	YKL023W	chr11	399680	+	27
CDC16	YKL022C	chr11	403151	-	-83
MAK11	YKL021C	chr11	404604	-	-132
SPT23	YKL020C	chr11	408119	-	53
RAM2	YKL019W	chr11	408529	+	25
MCO12	YKL018C-A	chr11	409918	-	53
SWD2	YKL018W	chr11	410048	+	40
HCS1	YKL017C	chr11	413235	-	8
ATP7	YKL016C	chr11	414046	-	71
PUT3	YKL015W	chr11	414432	+	98
URB1	YKL014C	chr11	422916	-	17
ARC19	YKL013C	chr11	424054	-	45
PRP40	YKL012W	chr11	424236	+	60
CCE1	YKL011C	chr11	427205	-	3
UFD4	YKL010C	chr11	431976	-	115
MRT4	YKL009W	chr11	432192	+	36
LAC1	YKL008C	chr11	434578	-	41
CAP1	YKL007W	chr11	435259	+	29
SFT1	YKL006C-A	chr11	436663	-	45
RPL14A	YKL006W	chr11	437873	+	19
BYE1	YKL005C	chr11	440979	-	116
AUR1	YKL004W	chr11	441215	+	351
MRP17	YKL003C	chr11	443519	-	41
DID4	YKL002W	chr11	443687	+	77
MET14	YKL001C	chr11	445415	-	44
VPS1	YKR001C	chr11	448776	-	68
PAP1	YKR002W	chr11	449017	+	201
OSH6	YKR003W	chr11	451314	+	53
MRPL13	YKR006C	chr11	457214	-	11
MEH1	YKR007W	chr11	457403	+	17
RSC4	YKR008W	chr11	458154	+	27
FOX2	YKR009C	chr11	463111	-	77
TOF2	YKR010C	chr11	467333	-	114
YKR011C	YKR011C	chr11	468784	-	108
PRY2	YKR013W	chr11	469887	+	40
YPT52	YKR014C	chr11	472186	-	143
MIC60	YKR016W	chr11	475604	+	47
HEL1	YKR017C	chr11	479371	-	88
YKR018C	YKR018C	chr11	481862	-	28
VPS51	YKR020W	chr11	484255	+	17
ALY1	YKR021W	chr11	485099	+	69
NTR2	YKR022C	chr11	489125	-	52
RQT4	YKR023W	chr11	489305	+	48
DBP7	YKR024C	chr11	493337	-	31
RPC37	YKR025W	chr11	493673	+	31
GCN3	YKR026C	chr11	495670	-	81
BCH2	YKR027W	chr11	497220	+	78
SAP190	YKR028W	chr11	499816	+	375
SET3	YKR029C	chr11	505779	-	12
GMH1	YKR030W	chr11	506164	+	52
SPO14	YKR031C	chr11	512424	-	95
DAL80	YKR034W	chr11	512764	+	68
DID2	YKR035W-A	chr11	513856	+	17
CAF4	YKR036C	chr11	516591	-	24
SPC34	YKR037C	chr11	517745	-	14
KAE1	YKR038C	chr11	519102	-	9
GAP1	YKR039W	chr11	520925	+	72
YKR041W	YKR041W	chr11	524120	+	-6
UTH1	YKR042W	chr11	525236	+	207
SHB17	YKR043C	chr11	527660	-	32
UIP5	YKR044W	chr11	527862	+	69
YKR045C	YKR045C	chr11	529917	-	32
PLN1	YKR046C	chr11	530988	-	11
NAP1	YKR048C	chr11	532562	-	19
FMP46	YKR049C	chr11	533161	-	27
TRK2	YKR050W	chr11	533697	+	21
YKR051W	YKR051W	chr11	536732	+	117
MRS4	YKR052C	chr11	539446	-	79
YSR3	YKR053C	chr11	541265	-	81
DYN1	YKR054C	chr11	553890	-	62
RHO4	YKR055W	chr11	554068	+	51
TRM2	YKR056W	chr11	555466	+	-115
RPS21A	YKR057W	chr11	557515	+	45
GLG1	YKR058W	chr11	558615	+	58
TIF1	YKR059W	chr11	560859	+	31
UTP30	YKR060W	chr11	562390	+	31
KTR2	YKR061W	chr11	563498	+	82
TFA2	YKR062W	chr11	565508	+	61
LAS1	YKR063C	chr11	568206	-	6
OAF3	YKR064W	chr11	568406	+	44
PAM17	YKR065C	chr11	571811	-	15
CCP1	YKR066C	chr11	573127	-	20
GPT2	YKR067W	chr11	573739	+	88
BET3	YKR068C	chr11	576861	-	48
MET1	YKR069W	chr11	577483	+	40
YKR070W	YKR070W	chr11	579481	+	4
SIS2	YKR072C	chr11	584210	-	138
AIM29	YKR074W	chr11	585114	+	44
YKR075C	YKR075C	chr11	586742	-	43
ECM4	YKR076W	chr11	588216	+	16
MSA2	YKR077W	chr11	589574	+	28
YKR078W	YKR078W	chr11	590884	+	17
TRZ1	YKR079C	chr11	595500	-	246
MTD1	YKR080W	chr11	596275	+	70
RPF2	YKR081C	chr11	598511	-	21
NUP133	YKR082W	chr11	598727	+	48
DAD2	YKR083C	chr11	602812	-	40
HBS1	YKR084C	chr11	604875	-	35
MRPL20	YKR085C	chr11	605640	-	9
PRP16	YKR086W	chr11	605773	+	34
OMA1	YKR087C	chr11	610204	-	22
TVP38	YKR088C	chr11	611381	-	13
TGL4	YKR089C	chr11	614394	-	79
PXL1	YKR090W	chr11	614723	+	173
SRL3	YKR091W	chr11	617234	+	32
SRP40	YKR092C	chr11	619678	-	42
PTR2	YKR093W	chr11	621403	+	93
RPL40B	YKR094C	chr11	624571	-	63
MLP1	YKR095W	chr11	625404	+	157
PCC1	YKR095W-A	chr11	631597	+	23
ESL2	YKR096W	chr11	632307	+	242
PCK1	YKR097W	chr11	636761	+	146
UBP11	YKR098C	chr11	641075	-	141
BAS1	YKR099W	chr11	641339	+	258
SKG1	YKR100C	chr11	646074	-	360
SIR1	YKR101W	chr11	646268	+	18
MHT1	YLL062C	chr12	2571	-	13
MMP1	YLL061W	chr12	2885	+	16
GTT2	YLL060C	chr12	6740	-	-33
YLL058W	YLL058W	chr12	8401	+	97
YCT1	YLL055W	chr12	15010	+	36
YLL054C	YLL054C	chr12	20199	-	58
AQY2	YLL052C	chr12	21320	-	22
FRE6	YLL051C	chr12	24484	-	76
COF1	YLL050C	chr12	25362	-	11
LDB18	YLL049W	chr12	25602	+	1
YBT1	YLL048C	chr12	31393	-	193
RPL8B	YLL045C	chr12	33587	-	23
FPS1	YLL043W	chr12	34761	+	98
SDH2	YLL041C	chr12	38891	-	44
VPS13	YLL040C	chr12	48665	-	104
UBI4	YLL039C	chr12	50220	-	97
ENT4	YLL038C	chr12	51471	-	37
PRP19	YLL036C	chr12	53184	-	12
GRC3	YLL035W	chr12	53382	+	114
RIX7	YLL034C	chr12	58100	-	38
IRC19	YLL033W	chr12	58315	+	10
YLL032C	YLL032C	chr12	61743	-	80
GPI13	YLL031C	chr12	65185	-	64
FRA1	YLL029W	chr12	66274	+	103
TPO1	YLL028W	chr12	69586	+	134
ISA1	YLL027W	chr12	72105	+	206
HSP104	YLL026W	chr12	73475	+	56
PAU17	YLL025W	chr12	79623	+	32
SSA2	YLL024C	chr12	82423	-	30
POM33	YLL023C	chr12	83774	-	30
HIF1	YLL022C	chr12	85102	-	-8
SPA2	YLL021W	chr12	85697	+	157
KNS1	YLL019C	chr12	93092	-	284
COX19	YLL018C-A	chr12	93940	-	58
DPS1	YLL018C	chr12	96522	-	38
BPT1	YLL015W	chr12	101202	+	134
EMC6	YLL014W	chr12	106208	+	18
PUF3	YLL013C	chr12	109869	-	271
YEH1	YLL012W	chr12	110362	+	53
SOF1	YLL011W	chr12	112393	+	11
PSR1	YLL010C	chr12	115741	-	242
COX17	YLL009C	chr12	116347	-	52
DRS1	YLL008W	chr12	116580	+	30
LMO1	YLL007C	chr12	121256	-	87
MMM1	YLL006W	chr12	121417	+	38
ORC3	YLL004W	chr12	125916	+	6
SFI1	YLL003W	chr12	127990	+	60
RTT109	YLL002W	chr12	131116	+	24
DNM1	YLL001W	chr12	132686	+	53
YLR001C	YLR001C	chr12	139085	-	31
NOC3	YLR002C	chr12	141441	-	30
CMS1	YLR003C	chr12	142819	-	18
THI73	YLR004C	chr12	144635	-	59
SSL1	YLR005W	chr12	145083	+	37
SSK1	YLR006C	chr12	149139	-	175
NSE1	YLR007W	chr12	149456	+	7
PAM18	YLR008C	chr12	151262	-	108
RLP24	YLR009W	chr12	151458	+	150
TEN1	YLR010C	chr12	152884	-	11
LOT6	YLR011W	chr12	154106	+	68
YLR012C	YLR012C	chr12	155410	-	58
PPR1	YLR014C	chr12	160081	-	36
BRE2	YLR015W	chr12	160237	+	53
PML1	YLR016C	chr12	162512	-	33
MEU1	YLR017W	chr12	162663	+	8
POM34	YLR018C	chr12	164725	-	56
PSR2	YLR019W	chr12	165070	+	276
YEH2	YLR020C	chr12	168501	-	39
IRC25	YLR021W	chr12	168648	+	32
SDO1	YLR022C	chr12	169988	-	5
IZH3	YLR023C	chr12	172374	-	187
SNF7	YLR025W	chr12	179427	+	83
SED5	YLR026C	chr12	181612	-	84
AAT2	YLR027C	chr12	183162	-	26
ADE16	YLR028C	chr12	186510	-	144
RPL15A	YLR029C	chr12	187662	-	23
YLR030W	YLR030W	chr12	188307	+	26
RAD5	YLR032W	chr12	190013	+	21
RSC58	YLR033W	chr12	193742	+	63
SMF3	YLR034C	chr12	197142	-	165
MLH2	YLR035C	chr12	199522	-	22
PAU23	YLR037C	chr12	202363	-	198
COX12	YLR038C	chr12	204343	-	65
RIC1	YLR039C	chr12	207641	-	-62
AFB1	YLR040C	chr12	208764	-	75
YLR042C	YLR042C	chr12	209628	-	71
TRX1	YLR043C	chr12	211154	-	35
PDC1	YLR044C	chr12	213213	-	30
STU2	YLR045C	chr12	216863	-	58
RPS0B	YLR048W	chr12	221302	+	32
MLO50	YLR049C	chr12	224453	-	185
YLR050C	YLR050C	chr12	225169	-	7
FCF2	YLR051C	chr12	226088	-	21
IES3	YLR052W	chr12	226266	+	25
YLR053C	YLR053C	chr12	227528	-	12
SPT8	YLR055C	chr12	232211	-	57
ERG3	YLR056W	chr12	232867	+	67
MNL2	YLR057W	chr12	234314	+	65
SHM2	YLR058C	chr12	238518	-	44
REX2	YLR059C	chr12	239623	-	3
FRS1	YLR060W	chr12	240016	+	37
